ID,customerName,email,phone,city,country_code,creditLimit,createdAt,createdBy,modifiedAt,modifiedBy
72840987-545a-4b1f-b75d-cb57ffbfd923,customerName-728409,email-728409,phone-728409,city-728409,855,7215888985.17,2010-08-12T00:00:00.000Z,createdBy.fm1l@example.com,2007-10-28T00:00:00.000Z,modifiedBy.fm1l@example.org
6964223e-88d7-4fbb-ae57-10424958e358,customerName-6964223,email-6964223,phone-6964223,city-6964223,855,3257144513.27,2004-10-09T00:00:00.000Z,createdBy.459mn@example.net,2016-08-18T00:00:00.000Z,modifiedBy.459mn@example.com
69642248-b93d-4d86-b965-9ff5f23a9ef2,customerName-6964224,email-6964224,phone-6964224,city-6964224,855,8578756033.97,2007-04-09T00:00:00.000Z,createdBy.459mo@example.net,2019-05-18T00:00:00.000Z,modifiedBy.459mo@example.net
69642258-e887-42c0-8b44-257c48525a0c,customerName-6964225,email-6964225,phone-6964225,city-6964225,855,3258611678.91,2016-12-29T00:00:00.000Z,createdBy.459mp@example.org,2002-07-14T00:00:00.000Z,modifiedBy.459mp@example.com
69642260-8245-4f96-90fe-3a1ae7c32946,customerName-6964226,email-6964226,phone-6964226,city-6964226,855,4926006052.5,2002-08-27T00:00:00.000Z,createdBy.459mq@example.org,2009-03-23T00:00:00.000Z,modifiedBy.459mq@example.org
69642275-32bf-4f7f-8041-723b22dff507,customerName-6964227,email-6964227,phone-6964227,city-6964227,855,8811953408.02,2005-10-15T00:00:00.000Z,createdBy.459mr@example.com,2000-01-22T00:00:00.000Z,modifiedBy.459mr@example.com
6964228f-aa96-4101-b434-e6eb8df1a3bb,customerName-6964228,email-6964228,phone-6964228,city-6964228,855,2080627218.52,2006-03-27T00:00:00.000Z,createdBy.459ms@example.net,2001-01-25T00:00:00.000Z,modifiedBy.459ms@example.net
69642298-3bd0-4d11-8f1a-26152ca1aa04,customerName-6964229,email-6964229,phone-6964229,city-6964229,855,8021440180.34,2011-12-17T00:00:00.000Z,createdBy.459mt@example.net,2019-10-23T00:00:00.000Z,modifiedBy.459mt@example.com
69642308-ee55-48f3-8499-fd441ce9ff95,customerName-6964230,email-6964230,phone-6964230,city-6964230,855,2188323470.71,2019-06-21T00:00:00.000Z,createdBy.459mu@example.com,2014-06-20T00:00:00.000Z,modifiedBy.459mu@example.com
69642315-aa0a-4ad9-b367-38daebd6384d,customerName-6964231,email-6964231,phone-6964231,city-6964231,855,8634384614.6,2022-06-06T00:00:00.000Z,createdBy.459mv@example.net,2012-07-07T00:00:00.000Z,modifiedBy.459mv@example.net
6964232e-7b58-4409-b2d5-5588a87ce511,customerName-6964232,email-6964232,phone-6964232,city-6964232,855,5618318058.16,2014-09-02T00:00:00.000Z,createdBy.459mw@example.com,2004-04-20T00:00:00.000Z,modifiedBy.459mw@example.net
6964233c-371c-4656-8497-d196ee581600,customerName-6964233,email-6964233,phone-6964233,city-6964233,855,4528005978.89,2013-07-17T00:00:00.000Z,createdBy.459mx@example.org,2010-01-20T00:00:00.000Z,modifiedBy.459mx@example.org
6964234f-4487-4b92-9498-6b35c2a654f0,customerName-6964234,email-6964234,phone-6964234,city-6964234,855,1958484335.14,2009-04-10T00:00:00.000Z,createdBy.459my@example.org,2011-09-10T00:00:00.000Z,modifiedBy.459my@example.net
6964235c-80ab-4288-a7ff-2a67662ebe3d,customerName-6964235,email-6964235,phone-6964235,city-6964235,855,6732598865.07,2002-08-12T00:00:00.000Z,createdBy.459mz@example.org,2004-03-11T00:00:00.000Z,modifiedBy.459mz@example.net
69642366-47a6-4b54-9ce7-bc1c794dd84d,customerName-6964236,email-6964236,phone-6964236,city-6964236,855,864790097.39,2005-02-06T00:00:00.000Z,createdBy.459n0@example.net,2008-08-10T00:00:00.000Z,modifiedBy.459n0@example.com
69642375-d65d-4f9b-a6ee-5ae77e2e334c,customerName-6964237,email-6964237,phone-6964237,city-6964237,855,6602334019.21,2009-04-11T00:00:00.000Z,createdBy.459n1@example.net,2011-01-29T00:00:00.000Z,modifiedBy.459n1@example.net
69642386-3864-4e84-b245-7a9138e4f8fe,customerName-6964238,email-6964238,phone-6964238,city-6964238,855,6448220664.34,2002-08-06T00:00:00.000Z,createdBy.459n2@example.org,2010-09-03T00:00:00.000Z,modifiedBy.459n2@example.org
69642396-edc0-4534-9059-202dadf10296,customerName-6964239,email-6964239,phone-6964239,city-6964239,855,848865914.29,2001-10-30T00:00:00.000Z,createdBy.459n3@example.com,2010-10-03T00:00:00.000Z,modifiedBy.459n3@example.net
69642403-3c18-44fa-9671-8e5ea145f21a,customerName-6964240,email-6964240,phone-6964240,city-6964240,855,6855581073.02,2000-06-16T00:00:00.000Z,createdBy.459n4@example.org,2001-12-17T00:00:00.000Z,modifiedBy.459n4@example.net
6964241b-abc3-4a4b-ad89-6e7fa267308b,customerName-6964241,email-6964241,phone-6964241,city-6964241,855,954937333.11,2009-02-09T00:00:00.000Z,createdBy.459n5@example.com,2015-03-23T00:00:00.000Z,modifiedBy.459n5@example.net
